Id,Site,Location,Order,Latitude,Longitude
1,ElRosario,SportFish,1,29.79781944,-115.8238556
1,ElRosario,SportFish,2,29.79144167,-115.7955444
1,ElRosario,SportFish,3,29.78698333,-115.7968278
1,ElRosario,SportFish,4,29.79234167,-115.8259722
2,ElRosario,LaCaracolera,1,29.84837222,-115.8215972
2,ElRosario,LaCaracolera,2,29.84803056,-115.7749333
2,ElRosario,LaCaracolera,3,29.83947222,-115.7766111
2,ElRosario,LaCaracolera,4,29.83987778,-115.8211389
3,ElRosario,ChinaTown,1,29.79109444,-115.7917083
3,ElRosario,ChinaTown,2,29.78808333,-115.7848778
3,ElRosario,ChinaTown,3,29.78055556,-115.7861111
3,ElRosario,ChinaTown,4,29.78534167,-115.7937389
3,ElRosario,ChinaTown,5,29.78534167,-115.7905222
4,ElRosario,PuntaBaja,1,29.97513333,-115.8354778
4,ElRosario,PuntaBaja,2,29.97508333,-115.8052778
4,ElRosario,PuntaBaja,3,29.96581389,-115.8088722
4,ElRosario,PuntaBaja,4,29.96612222,-115.8352444
5,IslaNatividad,PlanaCuevas,1,27.8527,-115.161
5,IslaNatividad,PlanaCuevas,2,27.8457,-115.159
5,IslaNatividad,PlanaCuevas,3,27.8446,-115.166
5,IslaNatividad,PlanaCuevas,4,27.8409,-115.172
5,IslaNatividad,PlanaCuevas,5,27.8484,-115.174
5,IslaNatividad,PlanaCuevas,6,27.8538,-115.1645
6,IslaNatividad,PuntaPrieta,1,27.8868,-115.196
6,IslaNatividad,PuntaPrieta,2,27.896,-115.19
6,IslaNatividad,PuntaPrieta,3,27.893,-115.185
6,IslaNatividad,PuntaPrieta,4,27.8855,-115.19
